road_id,full_road_name,Road Name,Corridor ID,Processed_Full_Road_Name,lat_lon
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75220,jellicoe,TRUE
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75678,jellicoe,TRUE
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75526,jellicoe,TRUE
1793478,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_89977,jellicoe,TRUE
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_008343,jellicoe,TRUE
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_015702,jellicoe,TRUE
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_049219,jellicoe,TRUE
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75220,jellicoe,TRUE
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75678,jellicoe,TRUE
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_75526,jellicoe,TRUE
1795668,Jellicoe Street,JELLICOE ST (MARTINBOROUGH),JELLICOE_89977,jellicoe,TRUE
1801445,Oxford Street,OXFORD ST,OXFORD_90865,oxford,TRUE
3000452,Donalds Road,DONALD ST,DONALD_41617,donalds,FALSE
3000452,Donalds Road,DONALD ST,DONALD_14969,donalds,FALSE
3000452,Donalds Road,DONALD ST,DONALD_14970,donalds,FALSE
1793350,Donald Street,DONALD ST,DONALD_41617,donald,FALSE
1793350,Donald Street,DONALD ST,DONALD_14969,donald,FALSE
1793350,Donald Street,DONALD ST,DONALD_14970,donald,FALSE
1800320,Huangarua Road,HUANGARUA RD,HUANGARUA_91206,huangarua,FALSE
1795475,Bell Street,BELL ST,BELL_14975,bell,TRUE
3037164,Moroa Road,MOROA ROAD,MOROA_88557,moroa,FALSE
1793950,Lyon Street,LYON ST,LYON_14971,lyon,TRUE
1795513,Wilkie Street,WILKIE STREET,WILKIE_36677,wilkie,FALSE
1795659,Loasby Place,LOASBY PLACE,LOASBY_14982,loasby,FALSE
1795605,Pukio West Road,PUKIO WEST RD,PUKIO_45947,pukio,TRUE
1795604,Pukio East Road,PUKIO WEST RD,PUKIO_45947,pukio,TRUE
1795667,Ohio Street,OHIO ST,OHIO_14866,ohio,FALSE
1795523,Seaview Avenue,SEAVIEW AVE,SEAVIEW_29917,seaview,FALSE
1795625,Tilson Avenue,TILSON AVE,TILSON_29942,tilson,FALSE
1795624,Tilsons Road,TILSON AVE,TILSON_29942,tilsons,FALSE
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_88053,cape,TRUE
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_88345,cape,TRUE
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_074933,cape,TRUE
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_078888,cape,TRUE
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_081004,cape,TRUE
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_3326,cape,TRUE
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_087565,cape,TRUE
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_84621,cape,TRUE
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_86455,cape,TRUE
1795508,Cape Palliser Road,CAPE PALLISER RD,CAPE_85104,cape,TRUE
1795509,Cape River Road,CAPE PALLISER RD,CAPE_88053,cape,TRUE
1795509,Cape River Road,CAPE PALLISER RD,CAPE_88345,cape,TRUE
1795509,Cape River Road,CAPE PALLISER RD,CAPE_074933,cape,TRUE
1795509,Cape River Road,CAPE PALLISER RD,CAPE_078888,cape,TRUE
1795509,Cape River Road,CAPE PALLISER RD,CAPE_081004,cape,TRUE
1795509,Cape River Road,CAPE PALLISER RD,CAPE_3326,cape,TRUE
1795509,Cape River Road,CAPE PALLISER RD,CAPE_087565,cape,TRUE
1795509,Cape River Road,CAPE PALLISER RD,CAPE_84621,cape,TRUE
1795509,Cape River Road,CAPE PALLISER RD,CAPE_86455,cape,TRUE
1795509,Cape River Road,CAPE PALLISER RD,CAPE_85104,cape,TRUE
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_078159,lake,TRUE
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_079875,lake,TRUE
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_84571,lake,TRUE
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_87268,lake,TRUE
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_85252,lake,TRUE
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_068349,lake,TRUE
1795548,Lake Domain Road,LAKE FERRY RD,LAKE_082272,lake,TRUE
1795549,Lake Ferry Road,LAKE FERRY RD,LAKE_078159,lake,TRUE
1795549,Lake Ferry Road,LAKE FERRY RD,LAKE_079875,lake,TRUE
1795549,Lake Ferry Road,LAKE FERRY RD,LAKE_84571,lake,TRUE
1795549,Lake Ferry Road,LAKE FERRY RD,LAKE_87268,lake,TRUE
1795549,Lake Ferry Road,LAKE FERRY RD,LAKE_85252,lake,TRUE
1795549,Lake Ferry Road,LAKE FERRY RD,LAKE_068349,lake,TRUE
1795549,Lake Ferry Road,LAKE FERRY RD,LAKE_082272,lake,TRUE
1795641,Wakelin Street,WAKELIN ST (EAST OF EAST ST),WAKELIN_14982,wakelin,FALSE
1795641,Wakelin Street,WAKELIN ST (WEST OF EAST ST),WAKELIN_103584,wakelin,FALSE
1795501,Wood Street,WOOD ST,WOOD_37228,wood,FALSE
1795639,Mangatoetoe Grove,MANGATOETOE GROVE,MANGATOETOE_34889,mangatoetoe,TRUE
1795563,Hawke Street,HAWKE ST,HAWKE_42303,hawke,FALSE
1791763,Clara Anne Grove,CLARA ANNE GR,CLARA_14984,clara,FALSE
3007123,East West Access Road,EAST ST,EAST_056838,east,TRUE
3007123,East West Access Road,EAST ST,EAST_021027,east,TRUE
3007123,East West Access Road,EAST ST,EAST_107930,east,TRUE
3007123,East West Access Road,EAST ST,EAST_017366,east,TRUE
3007123,East West Access Road,EAST ST,EAST_040645,east,TRUE
3007123,East West Access Road,EAST ST,EAST_14984,east,TRUE
3007123,East West Access Road,EAST ST,EAST_021027,east,TRUE
3007123,East West Access Road,EAST ST,EAST_14982,east,TRUE
1793361,East Street,EAST ST,EAST_056838,east,TRUE
1793361,East Street,EAST ST,EAST_021027,east,TRUE
1793361,East Street,EAST ST,EAST_107930,east,TRUE
1793361,East Street,EAST ST,EAST_017366,east,TRUE
1793361,East Street,EAST ST,EAST_040645,east,TRUE
1793361,East Street,EAST ST,EAST_14984,east,TRUE
1793361,East Street,EAST ST,EAST_021027,east,TRUE
1793361,East Street,EAST ST,EAST_14982,east,TRUE
1795530,East Street,EAST ST,EAST_056838,east,TRUE
1795530,East Street,EAST ST,EAST_021027,east,TRUE
1795530,East Street,EAST ST,EAST_107930,east,TRUE
1795530,East Street,EAST ST,EAST_017366,east,TRUE
1795530,East Street,EAST ST,EAST_040645,east,TRUE
1795530,East Street,EAST ST,EAST_14984,east,TRUE
1795530,East Street,EAST ST,EAST_021027,east,TRUE
1795530,East Street,EAST ST,EAST_14982,east,TRUE
1795476,Reading Street,READING ST,READING_016466,reading,TRUE
1795476,Reading Street,READING ST,READING_14984,reading,TRUE
1795685,Grey Street,GREY ST,GREY_055949,grey,TRUE
1795687,Kansas Street,KANSAS ST (NORTHERN LEG),KANSAS_14882,kansas,FALSE
1795687,Kansas Street,KANSAS ST (SOUTHERN LEG),KANSAS_14879,kansas,FALSE
1795576,Cundys Road,CUNDYS ROAD,CUNDYS_41481,cundys,FALSE
1795648,Church Street,CHURCH ST,CHURCH_047408,church,TRUE
1795392,Ponatahi Road,PONATAHI RD,PONATAHI_3985,ponatahi,TRUE
1795392,Ponatahi Road,PONATAHI RD,PONATAHI_088059,ponatahi,TRUE
3041666,Bidwills Cutting Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_040893,bidwills,TRUE
3041666,Bidwills Cutting Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_74523,bidwills,TRUE
3041666,Bidwills Cutting Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_75097,bidwills,TRUE
3041666,Bidwills Cutting Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_069688,bidwills,TRUE
3041666,Bidwills Cutting Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_72788,bidwills,TRUE
3041666,Bidwills Cutting Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_077121,bidwills,TRUE
1795559,Bidwills Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_040893,bidwills,TRUE
1795559,Bidwills Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_74523,bidwills,TRUE
1795559,Bidwills Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_75097,bidwills,TRUE
1795559,Bidwills Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_069688,bidwills,TRUE
1795559,Bidwills Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_72788,bidwills,TRUE
1795559,Bidwills Road,BIDWILLS CUTTING ROAD (2),BIDWILLS_077121,bidwills,TRUE
3043395,Kahutara Road,KAHUTARA RD,KAHUTARA_085397,kahutara,TRUE
3043395,Kahutara Road,KAHUTARA RD,KAHUTARA_087010,kahutara,TRUE
1795469,Nelsons Road,NELSONS RD,NELSONS_15063,nelsons,FALSE
3036706,Underhill Road,UNDERHILL RD (EXTENSION @ WAKEFIELD,UNDERHILL_36215,underhill,TRUE
1795649,McMaster Street,MCMASTER ST,MCMASTER_049961,mcmaster,TRUE
3013166,Whangaimoana Beach Road,WHANGAIMOANA BEACH RD,WHANGAIMOANA_48098,whangaimoana,FALSE
1800688,Roberts Street,ROBERTS ST,ROBERTS_022880,roberts,TRUE
1800667,Regent Street,REGENT ST,REGENT_046569,regent,TRUE
1800352,Kuratawhiti Street,KURATAWHITI ST,KURATAWHITI_075303,kuratawhiti,TRUE
1800672,Kumenga Road,KUMENGA RD,KUMENGA_43317,kumenga,FALSE
1800666,Papawai Road,PAPAWAI RD,PAPAWAI_90072,papawai,FALSE
1800666,Papawai Road,PAPAWAI RD,PAPAWAI_87420,papawai,TRUE
1800666,Papawai Road,PAPAWAI RD,PAPAWAI_29650,papawai,FALSE
1795665,Cork Street,CORK ST,CORK_14865,cork,FALSE
1795665,Cork Street,CORK ST,CORK_14864,cork,FALSE
1795671,Texas Street,TEXAS ST,TEXAS_14880,texas,FALSE
1795671,Texas Street,TEXAS ST (WESTERN LEG),TEXAS_14881,texas,FALSE
1801444,Princess Street,PRINCESS ST,PRINCESS_031815,princess,TRUE
1801444,Princess Street,PRINCESS ST,PRINCESS_058218,princess,TRUE
1842793,Arbor Place,ARBOR PLACE,ARBOR_95680,arbor,FALSE
1842793,Arbor Place,ARBOR PLACE,ARBOR_95681,arbor,FALSE
3053271,Western Lake Road,WESTERN LAKE RD,WESTERN_002362,western,TRUE
3053271,Western Lake Road,WESTERN LAKE RD,WESTERN_085855,western,TRUE
3053271,Western Lake Road,WESTERN LAKE RD,WESTERN_083223,western,TRUE
1795536,Papatahi Road,PAPATAHI RD,PAPATAHI_45767,papatahi,FALSE
1795456,Fox Street,FOX ST,FOX_009122,fox,TRUE
1795474,Puruatanga Road,PURUATANGA RD,PURUATANGA_87443,puruatanga,FALSE
1795474,Puruatanga Road,PURUATANGA RD,PURUATANGA_91187,puruatanga,FALSE
1795663,Memorial Square,Memorial Square,SQUARE_89824,memorial,FALSE
1795670,Cambridge Road,CAMBRIDGE RD,CAMBRIDGE_90382,cambridge,TRUE
1795670,Cambridge Road,CAMBRIDGE RD,CAMBRIDGE_89648,cambridge,TRUE
1793351,Dublin Street,DUBLIN ST,DUBLIN_102503,dublin,TRUE
1793351,Dublin Street,DUBLIN ST,DUBLIN_75190,dublin,TRUE
1795595,Hinekura Road,HINEKURA RD,HINEKURA_100546,hinekura,TRUE
1795595,Hinekura Road,HINEKURA RD,HINEKURA_100548,hinekura,TRUE
